ID,Title,Theme,Research_Question,Hypothesis,Datasets,Methods,Target_Journal,Planned_Year,Status
P30,Sex differences in AD transcriptomics,T3 Neurodegeneration,Do sex-specific modules explain risk?,Female-biased inflammatory modules explain part of risk.,GEO AD,limma; meta; interaction terms,Alzheimer’s & Dementia,2029,Planned
P31,Integrated brain single-cell atlas (HCA/Allen/SEA-AD),T4 Single-cell atlases & cross-modal,Can a harmonized brain atlas enable cross-study comparisons?,Harmony/scVI harmonization yields robust shared embeddings.,HCA; Allen; SEA-AD,Harmony; scVI; batch benchmarks,Nature (Resource),2026,Planned
P32,GBM single-cell meta-atlas,T4 Single-cell atlases & cross-modal,What malignant cell states are conserved?,Proneural/mesenchymal states recur across cohorts.,TISCH GBM; SCP GBM,Integration; DA; survival linkage,Cancer Cell,2027,Planned
P33,Cross-species annotation (mouse→human brain),T4 Single-cell atlases & cross-modal,Can domain adaptation improve annotation transfer?,Adversarial/contrastive methods outperform baselines.,Allen mouse; SEA-AD human,scANVI; domain adaptation; eval,Nature Methods,2027,Planned
P34,totalVI multimodal embeddings,T4 Single-cell atlases & cross-modal,Do multimodal embeddings improve state discovery?,totalVI improves rare-state detection.,Public CITE-seq,scvi-tools totalVI; benchmarks,Genome Biology,2028,Planned
P35,Rare cell type discovery benchmark,T4 Single-cell atlases & cross-modal,Which methods best detect rare states?,Deep embeddings excel at low prevalence.,HCA/TISCH subsets,Downsampling; benchmarking,Bioinformatics,2026,Planned
P36,Batch correction benchmark (Harmony vs scVI vs Seurat),T4 Single-cell atlases & cross-modal,Which integration works best across labs?,Performance varies by heterogeneity; provide guidance.,Multi-study scRNA,Benchmark suite; metrics; tutorials,Nature Methods,2026,Planned
P37,Annotation transfer → bulk deconvolution,T4 Single-cell atlases & cross-modal,Do better annotations improve deconvolution?,Improved references reduce error and bias.,HCA/TISCH → TCGA bulk,Label transfer; deconv; eval,Genome Medicine,2028,Planned
P38,Spatial+single-cell joint breast cancer atlas,T4 Single-cell atlases & cross-modal,How do spatial niches align with scRNA states?,Joint embeddings reveal prognostic niches.,Visium; scRNA breast TISCH,Squidpy; mapping; outcomes,Nature Communications,2029,Planned
P39,Single-cell trajectories in meningioma,T4 Single-cell atlases & cross-modal,What trajectories define benign vs aggressive?,Distinct transitions predict recurrence.,GEO/SCP meningioma scRNA,Scanpy; scVelo; survival linkage,Acta Neuropathologica,2029,Planned
P40,Fairness in single-cell embeddings,T4 Single-cell atlases & cross-modal,Do embeddings encode demographic biases?,Bias correlates with donor distributions; propose mitigations.,HCA multi-donor,Fairness metrics; resampling; debiasing,Nature Machine Intelligence,2029,Planned
P41,Deconvolution benchmark (BayesPrism/MuSiC/DWLS/Scaden),"T5 Methods, benchmarking & community",Which methods are most accurate and robust?,Bayesian methods excel with imperfect references.,Simulations; matched bulk–sc,Benchmarking; error metrics; guidance,Nature Methods,2026,Planned
P42,DE methods at n≤3 replicates,"T5 Methods, benchmarking & community",Which DE methods perform best at low n?,limma-voom with quality weights is competitive.,Simulations; recount3 subsets,edgeR/DESeq2/limma; eval,Genome Biology,2025,Planned
P43,RNA velocity reliability across protocols,"T5 Methods, benchmarking & community",How robust is velocity across chemistries?,Protocol affects inference; provide recommendations.,scVelo datasets; 10x chemistries,scVelo; synthetic ground truth,Nature Biotechnology,2028,Planned
P44,Spatial ligand–receptor pipelines compared,"T5 Methods, benchmarking & community",Which LR pipelines agree most?,Consensus improves interpretability.,Visium datasets,CellChat/NicheNet/OmniPath; benchmarks,Bioinformatics,2027,Planned
P45,Cross-platform meta-analysis playbook,"T5 Methods, benchmarking & community",How to harmonize microarray & RNA-seq?,Standardized pipeline yields reproducible results.,GEO arrays; recount3 RNA-seq,ComBat; quantile norm; meta,F1000Research,2025,Planned
P46,Pipelines for low-resource labs,"T5 Methods, benchmarking & community",Can we cut compute cost without accuracy loss?,Snakemake + mamba + CPU-friendly settings suffice.,Pipelines; cost audits,Profiling; containers; CPU-only configs,Patterns,2026,Planned
P47,Open benchmarks & leaderboards (Bangla docs),"T5 Methods, benchmarking & community",Can leaderboards drive method quality?,Benchmarks accelerate progress & training.,Hosted datasets; metrics,Benchmark datasets; scoring; docs,Scientific Data,2027,Planned
P48,TCGA/AD demographic fairness analysis,"T5 Methods, benchmarking & community",Are findings sensitive to demographic imbalance?,Bias impacts generalization; provide corrections.,TCGA; AD cohorts,Stratified analyses; fairness metrics,PLOS Biology,2028,Planned
P49,Packaged R/Python toolkits from this program,"T5 Methods, benchmarking & community",Can we unify utilities into robust packages?,Well-documented packages boost reuse.,Internal pipelines,R/Bioconductor; PyPI; tests,GigaScience,2029,Planned
P50,Teaching modules & open curriculum,"T5 Methods, benchmarking & community",Can curriculum speed onboarding?,Students reproduce at least 3 papers end-to-end.,Selected projects,Notebooks; containers; MOOC-style docs,eLife/Patterns,2030,Planned
